request,cluster,timestamp,app
hell need turn developer option order work app ? whoever come idea must top level management rather developer .,1,2025-03-15 13:28:27,Dialog
"need setting work device developer option , dont care abt security concern .",1,2025-03-15 13:28:27,Dialog
"great app dialog saying.i wish continued good work.also , would better package price reduced little .",0,2025-03-13 19:59:34,Dialog
"account package want activate , still tell insufficient balance .",0,2025-03-11 10:05:51,Dialog
"need reload activate instead rs. , minimum reload r . according app cunning frustrating .",2,2025-03-11 10:05:51,Dialog
"wish give star , start dialog employee fired making package like , idk make terrible package , think dont money .",0,2025-03-10 05:03:21,Dialog
"app need fully control device , cant give permission device gallery , show package data balance , , want spying .. ? remove app permission option install app , , contact permission ok , , medium gallery permission ? ? ?",0,2025-03-08 09:48:46,Dialog
"service rendered team technician mr charitha , attended defect wonderful job much appreciate best luck future endeavour wish good luck .",0,2025-03-06 08:07:00,Dialog
add number ?,3,2025-03-05 09:33:36,Dialog
"edit reach u whatsapp , bro dont want talk braindead bot , bring back real customer support tia",0,2025-03-03 09:32:20,Dialog
fix .,4,2025-02-27 14:46:45,Dialog
persistent garbage year one need develop .,2,2025-01-26 14:06:09,Dialog
"customer service gotten bad dont even want talk , scandalsi hate dialog ...",0,2025-01-15 07:06:55,Dialog
need get data app show nothing authentication failure,2,2025-01-13 22:30:52,Dialog
need improve .,2,2025-01-12 14:27:53,Dialog
need turn developer option work app ?,1,2025-01-07 10:20:32,Dialog
"value customer , need improve call center service immediately .",2,2024-12-20 14:51:49,Dialog
hell need turn developer option order work app ?,1,2024-12-13 14:55:37,Dialog
need feature setting work device developer option .,1,2024-12-13 14:55:37,Dialog
please address problem soon possible level service unacceptable .,1,2024-12-04 05:32:01,Dialog
need wait minites load conet app ..,2,2024-11-25 08:03:43,Dialog
take forever load doesnt work need use like every time .,2,2024-11-21 07:20:38,Dialog
would great app could optimized better speed performance .,4,2024-11-20 13:03:27,Dialog
add incoming call history record.it helpfull,3,2024-11-15 08:59:22,Dialog
want open dialog app ?,0,2024-11-13 07:55:34,Dialog
could add photo review show app suck .,3,2024-11-12 13:07:23,Dialog
always need exit relaunch app make reloads via mydialog app go dashboard .,2,2024-11-02 02:21:02,Dialog
time based package package eg tax know exact tax amount need pay exact reload bill need use calculator tax calculation reload ? straight away show full amount tax tax .,2,2024-11-02 02:21:02,Dialog
"recently , unable add additional data pack ex social medium .",3,2024-10-31 08:54:48,Dialog
tell need turn developer option im using app ?,1,2024-10-28 15:21:05,Dialog
useless make available app gallery huawei ..,1,2024-10-26 16:35:55,Dialog
need add data wait hour,3,2024-10-22 12:41:26,Dialog
"app opening , troubling , time , difficult get app need enter app couldnt open , cant even see balance payment issue due problem , please fix .",4,2024-10-22 11:38:51,Dialog
please fix ?,4,2024-10-16 04:30:29,Dialog
would great fix error .,4,2024-10-12 13:51:28,Dialog
dont need embedded entire erp application .,2,2024-10-11 10:13:10,Dialog
make simple .,1,2024-10-11 10:13:10,Dialog
always loading every page clicked want stay two three minute ...,0,2024-10-08 08:33:10,Dialog
need give permission access storage ?,2,2024-10-03 12:31:19,Dialog
one deal !,0,2024-09-24 09:07:48,Dialog
stand together report nonsence trcsl need get action dialog increase price wish .,2,2024-09-23 17:36:52,Dialog
"app slow need data run , activate data package data , huge disadvantage , try make run free data charge .",2,2024-09-21 12:29:44,Dialog
"really want provide excellent service , make app easy .",0,2024-09-20 13:14:48,Dialog
"update , high responding time , lagging , stuck refreshing even dont need fix bug .",4,2024-09-19 17:56:24,Dialog
need fix bug,4,2024-09-19 02:28:56,Dialog
would like see reload history dialog app,4,2024-09-09 08:17:28,Dialog
turn developer option want open app,1,2024-09-08 22:28:17,Dialog
kill app everytime want go one page another .,0,2024-09-06 05:46:14,Dialog
need fixed .very bad,2,2024-09-03 16:16:29,Dialog
reason please explain,3,2024-08-31 05:35:39,Dialog
please add dark mode asap,3,2024-08-23 10:17:11,Dialog
please add dark mode app,3,2024-08-07 13:21:54,Dialog
"making payment , need put new detail card .",2,2024-08-06 15:30:59,Dialog
cant make work even there data ?,1,2024-08-06 02:47:15,Dialog
app need disable developer option active ?,1,2024-07-27 15:19:53,Dialog
think need enhance overall performance app .,2,2024-07-26 03:13:41,Dialog
basic feature need upgrade app,2,2024-07-19 15:38:03,Dialog
everytime need go developer option turn get totally waste .,1,2024-07-18 04:17:29,Dialog
"who acknowledge complaint hope dont experience dialog service , dialog service poor internet connection , would like say please buy sim card , package anything dialog , poor service , disappointed",0,2024-07-10 15:49:02,Dialog
would great dark mode new option,4,2024-07-09 12:57:41,Dialog
want say see improvement previous version .,0,2024-07-08 07:38:13,Dialog
dialog better app .,0,2024-07-03 03:50:30,Dialog
using dialog abt.yrs without trouble app.is also useful various ways.i wish best !,0,2024-06-30 07:03:12,Dialog
make online active active data plan use activate data plan .,1,2024-06-21 05:39:02,Dialog
freaking slow need turn developer option open app .,1,2024-06-20 07:20:10,Dialog
"app demand need turn developer option , refuse .",1,2024-06-19 12:14:00,Dialog
"month , got meaase dialog could add triple blaster package offer , activated triple blaster package ,",0,2024-06-19 02:10:27,Dialog
really buging slow need fix bug,4,2024-05-17 14:34:31,Dialog
tf disable developer option every time want access app ?,0,2024-05-13 15:06:06,Dialog
"need something urgently , wait app run properly .",2,2024-05-11 19:14:56,Dialog
still saying need pay sending message data .gb left .,2,2024-05-10 12:38:04,Dialog
"whats imsi error app ... say fix ... done everything possible , update reinstall everything annoying",4,2024-05-07 13:52:58,Dialog
"plzz , dialog app time ... reaper dialog system ?",0,2024-05-07 13:27:13,Dialog
bad lot thing need changed.some time may work properly .,2,2024-05-07 09:18:57,Dialog
never function properly need use app .,2,2024-05-02 20:31:09,Dialog
"question , need add connection selfcare app new app ?",3,2024-04-14 02:48:40,Dialog
need remove bcouncilengsms ada derana news service .,2,2024-04-13 07:46:13,Dialog
need connect hutch enable g .,2,2024-03-03 14:54:42,Dialog
"pls check signal issue wennawatta , wellampitiya.we dont even g g signal wennawatta.sometimes gsm signal also dropping.so many time complained issue several people wennawatta area fixed signal issue.im using hutch sim trust need come main road get least g g signal.dialog wifi home brand signal also poor.i dont understand hell fialog doing.dont ask send mail anything.just fix singnal issue",0,2024-02-22 03:39:57,Dialog
service good think previous version better new one new version sometimes loading take time new update app need add like free offer add star point pay method dialog sim better without based id number always need developer option phone better without setting,3,2024-02-21 18:39:06,Dialog
want deactivate activated package need go agent physically,0,2024-02-21 15:38:24,Dialog
change phone need start process saving phonedtv number scratch .,2,2024-02-18 14:50:14,Dialog
add also,3,2024-02-17 13:18:22,Dialog
need turn developer option run app ?,1,2024-02-12 09:33:11,Dialog
android developer disable every time need access app .,2,2024-02-10 18:13:12,Dialog
add connection one one everytime change phone install app .,3,2024-02-09 08:47:28,Dialog
want activate packege take minute .,0,2024-02-06 07:18:57,Dialog
dialog please make fast .,1,2024-02-06 07:18:57,Dialog
"even dont get amount data worth paid amount , need talk speed .",0,2024-02-03 07:53:38,Dialog
want developer option,1,2024-02-02 04:01:12,Dialog
hope add confirmation exit .,3,2024-02-02 01:59:17,Dialog
"everytime moron dialog give update app , find new way make unusable .",0,2024-01-19 16:39:03,Dialog
would like get hit brick using app,4,2024-01-15 16:57:39,Dialog
couldnt see balance detail home broadband give alternative solution fix problem god sake,4,2024-01-14 03:25:04,Dialog
add connection .,3,2024-01-12 11:11:23,Dialog
want know incoming call detail app cant see,0,2024-01-08 18:03:58,Dialog
"want reload , connect another mobile hotspot .",0,2024-01-02 13:45:22,Dialog
"persistent lagging loading issue make frustrating experience , often rendering unreliable needed .",1,2024-01-01 14:37:44,Dialog
please make simple user friendly,1,2023-12-28 14:11:17,Dialog
devs need fix .,4,2023-12-22 11:48:07,Dialog
advertise celebrate year app working even year ?,0,2023-12-21 13:35:38,Dialog
need make effort .....,1,2023-12-21 11:44:51,Dialog
time need call emergency couldnt .,2,2023-12-18 04:35:50,Dialog
"slow , dont want wait min log !",0,2023-12-16 13:48:36,Dialog
need improve,2,2023-12-08 09:42:19,Dialog
worst one please make simple managing app dont make complicated .,1,2023-12-04 13:11:14,Dialog
need wait year loading app,2,2023-12-03 12:21:35,Dialog
"sooner later , need get rid developer change host service .",2,2023-12-02 07:55:17,Dialog
first want remove team devolop software .,0,2023-11-30 12:48:02,Dialog
need fast,2,2023-11-28 05:56:40,Dialog
"slowest worst app ever used everything take sooo long , disable developer mode phone everytime need use garbage app",2,2023-11-28 05:49:26,Dialog
"worst app ever used , lot technical issue , doesnt convienece , always lagging , difficult making payment need try several time closing opening app , dear developer pls look issue , cz irritating use dialog app",2,2023-11-26 08:45:19,Dialog
speed dialog app .,0,2023-11-25 02:24:19,Dialog
worst app ever use ... please dont download waste data .. uninstall .. even cant login .. dont want give one star,0,2023-11-24 06:05:37,Dialog
every time need turn access worst app .,2,2023-11-20 14:16:37,Dialog
dialog app slow better dialog network dialog internet worst one feel like want slap ceo dialog couldnt describe feel want say bad word also feel angry paying fair price getting good service please fix leave country,0,2023-11-19 16:28:04,Dialog
vey bad apps ... time complain .. dont want correct .. developer option ...,0,2023-11-19 07:26:33,Dialog
working good little bit slow .. want improve app access speed,0,2023-11-19 06:51:03,Dialog
app slow whenever want use ?,0,2023-11-17 06:43:35,Dialog
please add r fb .,3,2023-11-13 05:29:31,Dialog
make look like simple .,1,2023-11-13 03:43:25,Dialog
need improve much making money .,2,2023-11-10 05:20:59,Dialog
app working new updata .need developer option phone please help ... reset app working,1,2023-11-08 14:50:31,Dialog
cant add another connection .,3,2023-11-04 06:47:16,Dialog
always need add annoying useless feature app ?,3,2023-11-02 18:28:56,Dialog
there dialog id thing always pop whenever app opened add verification code every single time even creating .,0,2023-11-02 18:28:56,Dialog
im mobile app developer need use phone developer mode ...,2,2023-10-30 08:18:37,Dialog
need disable developer option use app ?,1,2023-10-21 14:11:46,Dialog
got everything need find dialog account detail app .,2,2023-10-19 09:30:41,Dialog
app slow please make fast,1,2023-10-17 05:01:25,Dialog
make app simple make faster .,1,2023-10-16 18:20:51,Dialog
im trying add another connection .,3,2023-10-16 08:24:19,Dialog
add show connection number .,3,2023-10-11 19:16:46,Dialog
"dialog app new update later stopped working , app wont turn , take look",0,2023-10-10 16:45:09,Dialog
werst app slow .. reputed company improve immediately,2,2023-10-09 15:14:11,Dialog
even add broadband connection app .,3,2023-10-08 08:06:18,Dialog
"open app , need developer option , disturbing ... also slow , recommended",1,2023-10-08 07:46:21,Dialog
"connection , itll take minute add data , youd think theyll make easier give money , even pain .",3,2023-10-08 05:18:49,Dialog
cant log mydialog app phone reset.can help ?,0,2023-10-07 15:21:21,Dialog
smart solution would add extra warning app user turn developer option .,1,2023-10-05 10:38:39,Dialog
instead chose make convenient disable whole app .,1,2023-10-05 10:38:39,Dialog
need turn developer mode open app ?,2,2023-10-03 11:43:52,Dialog
need little bit upgrade make even user friendly like switching account quickly addon data plan without data connection,1,2023-09-29 05:15:56,Dialog
cant slide n next screen view button try add new connection stuck verification code screen,3,2023-09-23 03:07:48,Dialog
first heck need turn developer option ?,1,2023-09-21 07:37:27,Dialog
installation time make work .,1,2023-09-21 04:47:38,Dialog
"actived weekly package , want activate app doesnt show deactivated button .",0,2023-09-19 02:56:54,Dialog
want use dialog app guy telling u abandoned apps using developer option .,0,2023-09-18 16:40:36,Dialog
good wish purchase using dialog top,0,2023-09-18 16:16:33,Dialog
need disable everything configured device open app ?,2,2023-09-18 09:49:20,Dialog
need improve speed,2,2023-09-15 13:38:13,Dialog
"dont need contact whatsapp , inform user whether expect better version near future .",0,2023-09-12 01:59:42,Dialog
"great app ... ez use review written , app shuck much ... every time update , need uninstall app install .",2,2023-09-11 14:07:21,Dialog
cant log add connection one one .,3,2023-09-10 14:07:12,Dialog
"someone want something application , wait minimum day .",0,2023-09-09 07:02:11,Dialog
"disapointing , matter big company , possible make support mobile phone .",1,2023-09-03 14:25:16,Dialog
please add sport tv channel,3,2023-09-01 04:22:28,Dialog
good app make faster ... usually slow work ...,1,2023-08-31 15:50:11,Dialog
need switch developer option everytime want open app .,1,2023-08-31 02:53:09,Dialog
need improve .,2,2023-08-30 03:39:12,Dialog
always need turn developer option phone open mydialog app ? ? ? ? ?,1,2023-08-26 13:29:54,Dialog
want pay bill .. there convenient way .,0,2023-08-25 06:06:13,Dialog
"guy update app please , locked please wait screen , guy joke , please something",1,2023-08-23 20:36:13,Dialog
least load page function placeholder till data arrives make less annoying improve server response time .,2,2023-08-20 08:18:43,Dialog
want close connection move another provider .,0,2023-08-15 06:50:38,Dialog
"important payment done money deducted bank account , dialog receipt show payment unsuccessful need reconfirm customer service .",2,2023-08-15 03:33:30,Dialog
need switch developer option android use app .,1,2023-08-13 07:03:25,Dialog
need turn developer mode ?,2,2023-08-09 02:18:15,Dialog
need turn developer setting run application ...,2,2023-08-07 05:16:06,Dialog
need disable developer mode run app ?,2,2023-08-05 07:04:09,Dialog
need turn developer option use app .,1,2023-07-31 17:18:38,Dialog
dont need turn developer option phone .,1,2023-07-31 12:09:18,Dialog
please give mega run game ? mega run game success game .,0,2023-07-28 10:08:29,Dialog
make fast,1,2023-07-25 18:18:41,Dialog
every time add card save .,3,2023-07-17 09:32:01,Dialog
need turn developer option ?,1,2023-07-15 05:18:24,Dialog
rookie developer developed .,1,2023-07-15 04:57:08,Dialog
need freedom pack dialog .. including callingdata social medium,2,2023-07-13 07:42:45,Dialog
need facility remove data pack,2,2023-07-11 18:13:05,Dialog
please add way cancel current data package .,3,2023-07-11 12:26:57,Dialog
stay far away app u value ur sanity want avoid frustration dealing absolute train wreck,0,2023-07-10 01:02:42,Dialog
took min view usage view bill time add addon .,0,2023-07-08 06:38:16,Dialog
worst update want turn developer mode want turn ?,0,2023-07-05 16:28:55,Dialog
app working need ask working app,2,2023-07-01 13:45:48,Dialog
"wish data plan twitter , youtube , instagram , whatsapp also",0,2023-06-29 04:47:49,Dialog
add new connection .,3,2023-06-28 19:28:35,Dialog
make simple possible .,1,2023-06-27 16:11:54,Dialog
slow annoying dont even want open app .,0,2023-06-26 18:57:07,Dialog
dont talk nonsense make happen .,1,2023-06-25 07:59:22,Dialog
need disable developer mode ?,2,2023-06-24 10:01:57,Dialog
need turn developer option ? .... fix damn app ... u buy phone ?,1,2023-06-22 14:33:03,Dialog
need wait long period something take second .,2,2023-06-20 14:52:39,Dialog
omg man issue annoying thing recharged account like past week activate night time pack app option called plan ye working anymore idk contacted company issue fixed lost couldnt activate night time dont want lost next please fix issue fast possible,0,2023-06-20 10:57:42,Dialog
emergency situation possible make work .,1,2023-06-19 19:01:12,Dialog
big company u need upgrade ur app properly .,2,2023-06-19 19:01:12,Dialog
need turn developer mode use app ?,2,2023-06-17 04:00:48,Dialog
hell need turn developer option use ... absolute worst thing ...,1,2023-06-15 15:37:41,Dialog
"update , l couldnt open app , need activate package ..",2,2023-06-11 04:46:36,Dialog
need turn developer mode every time run app ?,2,2023-06-09 17:16:58,Dialog
trying add data package .,3,2023-06-09 16:59:34,Dialog
need disable developer option use app ?,1,2023-06-08 06:10:08,Dialog
still lot need improved .,2,2023-06-07 16:12:39,Dialog
please make correct .,1,2023-06-07 05:23:19,Dialog
must want use another network .,0,2023-06-06 14:07:05,Dialog
"every time need access app need deactivate developer option , complete task enable developer option reconfigure developer setting .",1,2023-06-04 06:29:17,Dialog
change recently made app would great app could roll back validation .,4,2023-06-04 06:29:17,Dialog
"turning developer option doesnt magically make device secure , turning make less secure .",1,2023-06-03 14:37:32,Dialog
wish give star .,0,2023-06-02 04:41:33,Dialog
need disable developer setting run app .,2,2023-05-31 08:27:24,Dialog
remove developer option popup make open .,1,2023-05-31 04:15:28,Dialog
tell solve problem,2,2023-05-30 16:29:08,Dialog
need fix .,4,2023-05-28 09:41:44,Dialog
dont want turn developer mode want open .,0,2023-05-26 21:20:57,Dialog
"app used developer setting enabled recent update , super annoying reset developer setting everytime want use app , make usable developer setting",1,2023-05-25 19:04:19,Dialog
kindly speed app ?,0,2023-05-25 09:09:04,Dialog
best app .. slowly ... fix ..,4,2023-05-23 03:04:30,Dialog
"hell fail singup showing mobile number , enterface always asking nic need go back possible rubbish app",2,2023-05-16 13:04:39,Dialog
couldnt add existing account updated app .,3,2023-05-14 14:27:09,Dialog
tring loan time befor yearthis app join routr always disconet want monthly usage always rechage didnt usage becous bad business .,0,2023-05-11 04:07:16,Dialog
app response time much need make faster .,1,2023-05-09 13:28:15,Dialog
"canot log dialog bcz getting imsi error msg app shutting .pls advance , pls note roaming customer want activate roaming pre paid package .. thanks",0,2023-05-08 11:19:56,Dialog
"want use , stop work patiently wait start .",0,2023-05-01 13:43:27,Dialog
need wait year service load .,2,2023-05-01 06:00:27,Dialog
need open app today .,2,2023-04-30 23:42:59,Dialog
put dark mood ?,0,2023-04-29 19:46:31,Dialog
need rectify encourage customer go digital .,2,2023-04-24 06:55:06,Dialog
change device doomed add connection using sm pin .,3,2023-04-21 07:43:50,Dialog
would great team colud look matter .,4,2023-04-17 07:32:45,Dialog
also please add dark mode,3,2023-04-16 16:45:32,Dialog
still need use app cuz im paying bill online .,2,2023-04-14 18:39:40,Dialog
need develop,2,2023-04-09 16:09:28,Dialog
"loading screen soo slow , need improve",2,2023-04-05 11:39:43,Dialog
telecommunication company aware useless app .,0,2023-04-05 03:58:19,Dialog
plz make responsive simple .,1,2023-04-04 17:16:54,Dialog
need userfriendly .,2,2023-04-04 17:16:54,Dialog
"really doesnt matter , make matter urgency",1,2023-03-31 10:23:22,Dialog
want change connection agent .,0,2023-03-16 17:06:48,Dialog
"take considerable amount time load navigate app , frustrating need access account quickly .",2,2023-03-15 22:33:42,Dialog
give solution ?,0,2023-03-15 03:37:47,Dialog
update make worse .,1,2023-03-14 13:42:43,Dialog
please add .,3,2023-03-12 10:24:23,Dialog
want rate option gave rating,0,2023-03-08 18:05:48,Dialog
necessary detail need know obtained app .,2,2023-03-07 19:31:17,Dialog
pls make work fast .,1,2023-03-07 09:50:14,Dialog
"even though ui pretty , functionality app bad make want complete overhaul app without current ui make usable faster .",1,2023-03-06 01:21:16,Dialog
unable add payment method show already added payment method see payment option,3,2023-03-04 11:32:25,Dialog
"want improve app , please contact !",0,2023-03-03 18:57:09,Dialog
need improve,2,2023-03-02 10:02:41,Dialog
uhhhhhhh beautiful country europe world beautiful country good morning assembly script world use cooking milk cheese long time beautiful country europe world beautiful country europe united kingdom long hair meaning home sri year old playing game student playing single family asked would like h,0,2023-03-02 09:21:02,Dialog
"trouble getting work reason check data , add data add money also need double check night time bonus last checked night time .",3,2023-03-02 08:44:26,Dialog
time share credit work.i wish error fixed dialog app .,0,2023-02-28 08:39:53,Dialog
worst app.too slow try recharge.need try normally times.im dissatisfied,2,2023-02-24 13:22:16,Dialog
fk app sooooo weak please make without bug,1,2023-02-18 15:06:32,Dialog
update latest version readd number hbb dtv account .,0,2023-02-18 07:03:26,Dialog
"want waste valuable time , download app use",0,2023-02-16 14:58:18,Dialog
thing app lagging wasting time need realoads related stuff using app .,2,2023-02-14 13:55:13,Dialog
app really helpfull allows almost everything need manage account without visiting service outlet .,2,2023-02-10 18:09:38,Dialog
need develop power,2,2023-02-09 13:23:37,Dialog
need much patience using app .,2,2023-02-08 06:59:26,Dialog
"try saveset nick name connection dont get saved , fix please ?",4,2023-02-07 08:53:51,Dialog
wont even want give one star honestly speaking,0,2023-02-07 07:37:05,Dialog
please fix make much efficient .,4,2023-02-06 17:17:46,Dialog
really want rate zero .,0,2023-02-05 14:07:30,Dialog
want one simple thing .,0,2023-02-03 16:32:01,Dialog
fix bug make run much faster competitive .,4,2023-02-02 04:13:37,Dialog
least need provide access free data using app .,2,2023-01-30 14:36:12,Dialog
many user give bad review dont need give seperate complains .,0,2023-01-28 06:18:37,Dialog
"need add amount manually , automatically displayed marked .",3,2023-01-28 05:11:12,Dialog
please request please add day package gb hour package deal,3,2023-01-27 07:23:32,Dialog
app running slow ... need fix,4,2023-01-27 04:32:09,Dialog
app little laggy make smooth experience,1,2023-01-21 09:48:44,Dialog
cant add new connection,3,2023-01-14 16:03:34,Dialog
need improve,2,2023-01-14 12:26:54,Dialog
"app loading super slow , need improve performance",2,2023-01-13 14:59:46,Dialog
please correct issue make comfortable .,1,2023-01-13 04:27:45,Dialog
add new connection well .,3,2023-01-11 06:52:16,Dialog
need speed .,2,2023-01-09 16:28:35,Dialog
download need waste time .,2,2023-01-03 15:10:58,Dialog
helpful app.please add star point app dialog app.normal star point app doesnot working,0,2022-12-31 06:20:06,Dialog
type legacy apps need reworked .,2,2022-12-22 23:20:24,Dialog
one slowest irritating app ever used life ... please make simple lite ... people dont time stick stupid programming ...,1,2022-12-17 17:05:40,Dialog
"support poco phone , need acceptable reason problem",2,2022-12-16 14:38:50,Dialog
"uninstalled download three times.this app stucking.atleast cant creat account.please think u little bit.everytime want app , doesnt works.then cant activate router plans.what shoul do.we using dialog connection years.i think developedwith time .",0,2022-12-11 04:59:58,Dialog
"new verification process suck , slow , make internally app .",1,2022-12-10 04:18:26,Dialog
please add separated activated service section,3,2022-12-09 04:45:40,Dialog
need optimize,2,2022-12-07 03:48:24,Dialog
please add data summary homepage .,3,2022-12-03 03:24:50,Dialog
"dialog worst , charging two time data country curfew , give offer ..",0,2022-11-30 12:28:04,Dialog
need fix many time wasting app .,4,2022-11-26 07:08:32,Dialog
expect dialog ? ? ? ?,0,2022-11-25 18:28:08,Dialog
uiux need updated,2,2022-11-25 14:54:36,Dialog
fix lag,4,2022-11-24 06:07:22,Dialog
modify feedback dont want lie right .,0,2022-11-22 13:03:23,Dialog
time approved card transactions.we need try .. appreciate could fix,4,2022-11-19 14:30:00,Dialog
please add option .,3,2022-11-12 07:02:42,Dialog
waste time really need check whether payment made wifi bill updated .,2,2022-11-12 04:50:06,Dialog
always need type card detail ...,2,2022-11-11 09:49:31,Dialog
need use quota anytime time without slowdown .,2,2022-11-03 08:42:41,Dialog
got money seating ac rooms.this new era communication people need stay online anytime .,2,2022-11-03 08:42:41,Dialog
make user friendly please,1,2022-11-02 16:21:49,Dialog
good bt need double tap feature,2,2022-10-29 08:44:22,Dialog
need additional time open want .,0,2022-10-29 07:10:32,Dialog
poor slow like vehicle traffic condition mega city u want something evening please begin morning use app,0,2022-10-28 13:57:26,Dialog
need waste much time .,2,2022-10-27 05:08:54,Dialog
sometimes leave without even getting done need get done .,2,2022-10-27 05:08:54,Dialog
long time open everything long time need wait function .,2,2022-10-22 03:07:14,Dialog
much faster app turtle . would great focus introducing new feature focused existing issue .,4,2022-10-11 18:01:13,Dialog
everytime reinstall add connection .,3,2022-10-06 06:39:54,Dialog
wish could post screenshots .,0,2022-10-05 10:35:20,Dialog
also tried add connection getting duplicated cant remove duplicated record properly .,3,2022-09-25 03:37:26,Dialog
try several time make happen .,1,2022-09-24 17:34:40,Dialog
make reliable fast enough .,1,2022-09-24 17:34:40,Dialog
tried many time add new number.but working .,3,2022-09-24 04:12:41,Dialog
"could add connection , could pay bill .",3,2022-09-23 13:21:08,Dialog
"tried add connection , always say error , also need fill one information add connection doesnt workout .",3,2022-09-23 04:55:22,Dialog
need add everything .,3,2022-09-23 03:26:32,Dialog
need add one one .,3,2022-09-22 06:13:52,Dialog
developer really need think app performance including apis,2,2022-09-19 12:54:16,Dialog
app buggy first cant even add account creating dialog id .,3,2022-09-11 14:28:35,Dialog
cant add another connection like dtv router .,3,2022-09-11 14:28:35,Dialog
need activate data package .,2,2022-09-05 18:23:34,Dialog
"need switch value added service , even permitted dialog exnlb",2,2022-09-02 07:13:11,Dialog
need change network .,2,2022-08-24 01:43:02,Dialog
need talk customer agent available .,2,2022-08-18 07:06:07,Dialog
application slow.make fast .,1,2022-08-08 11:39:49,Dialog
need data account access app .. least dialog need give data free access app .. wont find difficulty make payment recharge,2,2022-08-06 22:14:56,Dialog
suggestion please add one option data gift .,3,2022-08-03 04:55:59,Dialog
make faster like genie .,1,2022-07-26 14:51:16,Dialog
"connection really slow , whenever want use app , either maintenance keep loading hour .",0,2022-07-23 16:41:02,Dialog
need another payment option,2,2022-07-21 17:00:39,Dialog
make worse ?,1,2022-07-15 20:40:50,Dialog
update app dark mode ? ? ? ?,0,2022-07-15 17:49:44,Dialog
better u could make little faster,1,2022-07-09 07:20:53,Dialog
imagine patience one wait long .,0,2022-07-08 06:48:33,Dialog
bad need improve many thing,2,2022-06-25 02:27:56,Dialog
"cant perform task matter second , need wait every touch till respond .",2,2022-06-23 18:35:37,Dialog
"havent seen app like , make fast app give update , thanks .",1,2022-06-19 01:51:55,Dialog
automated option need select ... money hunger ....,2,2022-06-17 12:09:50,Dialog
need restart app .,2,2022-06-17 07:32:56,Dialog
overall great app everything need pertaining dialog stop constant update cant ignore ? !,2,2022-06-14 07:36:35,Dialog
"example , see usage detail , need scroll back forth package .",2,2022-06-14 05:27:35,Dialog
internet option manage directly online .,1,2022-06-13 12:13:38,Dialog
"want check something , calling customer care center faster app .",0,2022-06-09 02:05:59,Dialog
please use app make user friendly .,1,2022-06-07 19:25:01,Dialog
still couldnt able make perfect .,1,2022-06-07 19:25:01,Dialog
incident happen need uninstall app redownload app .. shame network .. please try understand fix problem asap !,4,2022-06-07 06:27:15,Dialog
dialog app extremely slow .. go payment app waste almost one hour time .. slowness press back button accidentally routing home page phone .. another time need go way proceeded .. new world wondering using kind slow apps .. dont know targeting waste data ..,0,2022-06-07 03:02:33,Dialog
add dark theme mod app .,3,2022-06-03 10:41:51,Dialog
"nice app see prior need charge , much used .",2,2022-06-01 04:29:49,Dialog
please add dark mode .,3,2022-05-29 06:34:43,Dialog
app need properly tested weak network .,2,2022-05-22 04:08:41,Dialog
please update soon possible make work faster,1,2022-05-13 21:31:10,Dialog
app continuesly crash need fix bug app,4,2022-05-03 14:41:43,Dialog
least app developer considered speed function seems like havent use app .,0,2022-04-29 16:43:16,Dialog
need improve ui ux,2,2022-04-28 02:47:40,Dialog
